CustomerID,Gender,Age,City,TenureMonths,ContractType,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerServiceCalls,Churn
CUST00001,Female,52,Delhi,3,One Year,DSL,No,No,No,Yes,Yes,Electronic Check,74.03,416.28,1,1
CUST00002,Female,42,Bangalore,27,Month-to-Month,DSL,No,No,No,Yes,Yes,Bank Transfer,53.51,1349.17,3,0
CUST00003,Male,54,Bangalore,19,Two Year,Fiber Optic,Yes,Yes,No,Yes,No,Electronic Check,95.33,1717.77,2,0
CUST00004,Female,67,Kolkata,37,Two Year,Fiber Optic,No,Yes,No,Yes,Yes,Bank Transfer,91.4,3232.33,1,0
CUST00005,Male,41,Kolkata,32,Month-to-Month,Fiber Optic,No,Yes,No,Yes,No,Credit Card,60.08,1916.83,2,1
CUST00006,Male,41,Bangalore,23,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Credit Card,84.83,1789.55,2,0
CUST00007,Male,68,Delhi,72,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,93.7,6654.46,5,0
CUST00008,Male,56,Delhi,18,One Year,Fiber Optic,No,Yes,No,Yes,No,Credit Card,78.08,1398.51,0,0
CUST00009,Female,37,Kolkata,2,Month-to-Month,Fiber Optic,No,Yes,Yes,No,No,Bank Transfer,114.56,412.16,2,1
CUST00010,Male,53,Mumbai,42,One Year,Fiber Optic,No,Yes,No,No,No,Bank Transfer,70.17,3132.67,3,0
CUST00011,Male,38,Mumbai,6,Month-to-Month,DSL,Yes,No,Yes,No,Yes,Credit Card,92.97,655.32,1,0
CUST00012,Female,38,Kolkata,36,Month-to-Month,DSL,Yes,Yes,Yes,No,Yes,Mailed Check,103.82,3693.22,2,0
CUST00013,Male,48,Bangalore,72,Month-to-Month,Fiber Optic,No,No,No,No,No,Bank Transfer,92.21,6785.18,2,1
